fecha,casosConfirmados,casosDiarios,fallecimientos,nuevosFallecimientos
2020-10-26,10405,3,183,0
2020-10-27,10463,58,186,3
2020-10-28,10507,44,190,4
2020-10-29,10553,46,192,2
2020-10-30,10592,39,192,0
2020-10-31,10604,12,195,3
2020-11-01,10658,54,195,0
2020-11-02,10682,24,195,0
2020-11-03,10688,6,195,0
2020-11-04,10708,20,195,0
2020-11-05,10723,15,195,0
2020-11-06,10788,65,197,2
2020-11-07,10856,68,199,2
2020-11-08,10883,27,199,0
2020-11-09,10894,11,199,0
2020-11-10,10900,6,199,0
2020-11-11,10943,43,199,0
2020-11-12,10997,54,199,0
2020-11-13,11049,52,199,0
2020-11-14,11087,38,199,0
2020-11-15,11098,11,199,0
2020-11-16,11107,9,199,0
2020-11-17,11119,12,199,0
2020-11-18,11220,101,199,0
2020-11-19,11286,66,200,1
2020-11-20,11326,40,200,0
2020-11-21,11353,27,201,1
2020-11-22,11383,30,202,1
2020-11-23,11390,7,202,0
2020-11-24,11478,88,206,4
2020-11-25,11580,102,208,2
2020-11-26,11616,36,208,0
2020-11-27,11714,98,209,1
2020-11-28,11782,68,209,0
2020-11-29,11843,61,210,1
2020-11-30,11889,46,210,0
2020-12-01,11929,40,212,2
2020-12-02,12014,85,212,0
2020-12-03,12077,63,214,2
2020-12-04,12128,51,214,0
2020-12-05,12206,78,215,1
2020-12-06,12271,65,215,0
2020-12-07,12284,13,215,0
2020-12-08,12310,26,215,0
2020-12-09,12440,130,215,0
2020-12-10,12525,85,219,4
2020-12-11,12541,16,219,0
2020-12-12,12584,43,219,0
2020-12-13,12655,71,219,0
2020-12-14,12670,15,219,0
2020-12-15,12703,33,219,0
2020-12-16,12835,132,219,0
2020-12-17,12890,55,220,1
2020-12-18,12991,101,220,0
2020-12-19,13062,71,220,0
2020-12-20,13106,44,220,0
2020-12-21,13113,7,220,0
2020-12-22,13113,0,220,0
2020-12-23,13212,99,221,1
2020-12-24,13287,75,222,1
2020-12-25,13327,40,222,0
2020-12-26,13379,52,222,0
2020-12-27,13391,12,222,0
2020-12-28,13401,10,222,0
2020-12-29,13474,73,222,0
2020-12-30,13522,48,222,0
2020-12-31,13557,35,222,0
2021-01-01,13605,48,222,0
2021-01-02,13741,136,222,0
2021-01-03,13769,28,222,0
2021-01-04,13802,33,222,0
2021-01-05,13855,53,225,3
2021-01-06,13913,58,225,0
2021-01-07,14031,118,226,1
2021-01-08,14064,33,226,0
2021-01-09,14109,45,226,0
2021-01-10,14164,55,226,0
2021-01-11,14195,31,226,0
2021-01-12,14242,47,226,0
2021-01-13,14363,121,226,0
2021-01-14,14455,92,226,0
2021-01-15,14501,46,227,1
2021-01-16,14681,180,228,1
2021-01-17,14737,56,228,0
2021-01-18,14763,26,228,0
2021-01-19,14847,84,245,17
2021-01-20,14996,149,245,0
2021-01-21,15108,112,247,2
2021-01-22,15161,53,249,2
2021-01-23,15258,97,249,0
2021-01-24,15337,79,249,0
2021-01-25,15383,46,249,0
2021-01-26,15415,32,251,2
2021-01-27,15574,159,257,6
2021-01-28,15658,84,261,4
2021-01-29,15719,61,263,2
2021-01-30,15826,107,267,4
2021-01-31,15998,172,267,0
2021-02-01,16025,27,267,0
2021-02-02,16053,28,277,10
2021-02-03,16096,43,278,1
2021-02-04,16155,59,278,0
2021-02-05,16213,58,279,1
2021-02-06,16276,63,280,1
2021-02-07,16335,59,280,0
2021-02-08,16344,9,280,0
2021-02-09,16432,88,289,9
2021-02-10,16457,25,291,2
2021-02-11,16521,64,293,2
2021-02-12,16605,84,294,1
2021-02-13,16660,55,297,3
2021-02-14,16721,61,297,0
2021-02-15,16750,29,297,0
2021-02-16,16776,26,297,0
2021-02-17,16785,9,297,0
2021-02-18,16819,34,297,0
2021-02-19,16888,69,297,0
2021-02-20,16994,106,300,3
2021-02-21,17065,71,300,0
2021-02-22,17078,13,300,0
2021-02-23,17100,22,301,1
2021-02-24,17183,83,301,0
2021-02-25,17206,23,304,3
2021-02-26,17244,38,304,0
2021-02-27,17321,77,305,1
2021-02-28,17367,46,305,0
2021-03-01,17422,55,305,0
2021-03-02,17482,60,305,0
2021-03-03,17598,116,312,7
2021-03-04,17645,47,312,0
2021-03-05,17687,42,316,4
2021-03-06,17751,64,316,0
2021-03-07,17786,35,316,0
2021-03-08,17824,38,316,0
2021-03-09,17837,13,316,0
2021-03-10,17857,20,316,0
2021-03-11,17911,54,316,0
2021-03-12,18019,108,321,5
2021-03-13,18083,64,321,0
